Component,L1,L2,Units,H-B Process
Capital Costs,,Total Capital Costs,millions of 2018$/year,283.66
Fixed Operating Costs,,Total plant staff,,
Fixed Operating Costs,,"Burdened labor cost, including overhead",BasisYear_$/man-year,
Fixed Operating Costs,,Labor cost,millions of 2018$/year,
Fixed Operating Costs,,G&A rate,% of labor cost,
Fixed Operating Costs,,G&A,millions of 2018$/year,
Fixed Operating Costs,,"Licensing, Permits and Fees",Millions BasisYear_$/year,
Fixed Operating Costs,,Property tax and insurance rate,% of capital/year,
Fixed Operating Costs,,Property taxes and insurance,millions of 2018$/year,
Fixed Operating Costs,,Rent,Millions BasisYear_$/year,
Fixed Operating Costs,,Material costs for maintenance and repairs,Million BasisYear_$/year,
Fixed Operating Costs,,Production Maintenance and Repairs,Million BasisYear_$/year,
Fixed Operating Costs,,Other Fees,millions of 2018$/year,
Fixed Operating Costs,,Other Fixed O&M Costs,BasisYear_$/year,
Fixed Operating Costs,,Total Fixed Operating Costs,millions of 2018$/year,
Variable Operating Costs,Utility Costs,Other Materials and Byproducts,Usage per kg H2,
Variable Operating Costs,Utility Costs,Cooling Water,gal,
Variable Operating Costs,Utility Costs,Demineralized Water,,
Variable Operating Costs,Utility Costs,Process Water,gal,
Variable Operating Costs,Utility Costs,Electricity - Utility,,
Variable Operating Costs,Utility Costs,Oxygen,,
Variable Operating Costs,Utility Costs,Sulfuric Acid,,
Variable Operating Costs,Utility Costs,Steam,kg,
Variable Operating Costs,Utility Costs,Compressed Inert Gas,,
Variable Operating Costs,Utility Costs,Total Non-Energy Operating Costs,millions of 2018$/year,
Variable Operating Costs,,Other variable operating costs,Million BasisYear_$/year,
Variable Operating Costs,,Other Material Costs,Million BasisYear_$/year,
Variable Operating Costs,,Waste treatment costs,Million BasisYear_$/year,
Variable Operating Costs,,Solid waste disposal costs,Million BasisYear_$/year,
Variable Operating Costs,,Royalties,Million BasisYear_$/year,
Variable Operating Costs,,Operator Profit,Million BasisYear_$/year,
Variable Operating Costs,,"Subsidies, Tax Incentives",Million BasisYear_$/year,
Variable Operating Costs,,CO2 sequestration O&M costs and credits,BasisYear_$/year,
Variable Operating Costs,,Process Carbon Tax,2018$/metric ton carbon,
Variable Operating Costs,,Fraction CO2 Captured,kg/kg,
Variable Operating Costs,,Process CO2 produced after Capture,kg / kg H2,
Variable Operating Costs,,Upstream Carbon Tax,2018$/metric ton GHG,
Variable Operating Costs,,Upstream CO2 equivalent GHG produced,kg / kg H2,
Variable Operating Costs,,Total Variable Operating Costs,millions of 2018$/year,98
Financial Input Values,Learning Rate Parameters,Alpha,,1
Financial Input Values,Learning Rate Parameters,Beta,,-0.029
